Dataset,Fold,Accuracy,Precision,Recall,F1-score,MAE,Log-Loss,AP,AUC
Test,3.0,0.9392405063291139,0.9967741935483871,0.8813976302459647,0.935477529913874,0.06075949367088608,0.20044147525750106,0.9687052113516037,0.9515198013825905
Train,3.0,0.9408227848101266,0.9985559566787003,0.882968026039239,0.9372053714424624,0.05917721518987342,0.18965073001721083,0.9754224572060595,0.9635384236711604
