Dataset,Fold,Accuracy,Precision,Recall,F1-score,MAE,Log-Loss,AP,AUC
Test,3.0,0.9531645569620253,0.9939393939393939,0.9118079396782445,0.9508702604048891,0.04683544303797468,0.13600944784054989,0.9871360518131039,0.9816263081850163
Train,3.0,0.959493670886076,0.9945033172243167,0.9239617695795636,0.9579273820479376,0.04050632911392405,0.11123081027941506,0.9921226412008026,0.9894669600494133
