Dataset,Fold,Accuracy,Precision,Recall,F1-score,MAE,Log-Loss,AP,AUC
Test,3.0,0.9531645569620253,0.9606507798717482,0.944311547181852,0.9517178358737357,0.04683544303797468,0.1664464575453331,0.9902902612950724,0.9866947638887547
Train,3.0,0.959493670886076,0.9702672847126286,0.9494494515283849,0.9593102657547457,0.04050632911392405,0.11634970945799857,0.9939235229517205,0.9921235235510452
