Dataset,Fold,Accuracy,Precision,Recall,F1-score,MAE,Log-Loss,AP,AUC
Test,3.0,0.9468354430379747,0.9939393939393939,0.9001991669248934,0.9444470673393834,0.05316455696202532,0.1482523807471039,0.9854377956158006,0.9788182434164913
Train,3.0,0.9560126582278482,0.9951503439561595,0.9163930929114052,0.9541414628933657,0.0439873417721519,0.12114717476369834,0.9919297908955697,0.9891360659300386
