Dataset,Fold,Accuracy,Precision,Recall,F1-score,MAE,Log-Loss,AP,AUC
Test,3.0,0.9430379746835443,0.99375,0.8919071754295,0.9399426932243831,0.0569620253164557,0.15952283710669898,0.9828985150240982,0.9745743626071697
Train,3.0,0.9439873417721518,0.9943320823094272,0.8930034831798386,0.9409184883995696,0.0560126582278481,0.13564259103582277,0.9900932299076001,0.9865626074509569
