Dataset,Fold,Accuracy,Precision,Recall,F1-score,MAE,Log-Loss,AP,AUC
Test,3.0,0.8835443037974684,0.8934013355065986,0.874382020058845,0.8816607531723747,0.11645569620253164,0.3083683228215768,0.9532762900143086,0.9516293127599639
Train,3.0,0.900632911392405,0.9053387993885831,0.8948537098313324,0.8999234678636719,0.09936708860759494,0.2843674711050868,0.9641248429385598,0.9604075177279615
