Dataset,Fold,Accuracy,Precision,Recall,F1-score,MAE,Log-Loss,AP,AUC
Test,3.0,0.8936925434116445,0.0,0.0,0.0,0.10630745658835547,0.3175525087549328,0.3751429267081824,0.7060196905766526
Train,3.0,0.893666874729918,0.0,0.0,0.0,0.1063331252700821,0.29375938260398227,0.4648857779216464,0.8015138556277798
