Dataset,Fold,Accuracy,Precision,Recall,F1-score,MAE,Log-Loss,AP,AUC
Test,3.0,0.8936925434116445,0.0,0.0,0.0,0.10630745658835547,0.3045808480071622,0.5030748939154168,0.7412095639943741
Train,3.0,0.8953617899841552,0.2,0.015789473684210527,0.029268292682926828,0.10463821001584481,0.26334891744960365,0.6249858466022984,0.8560644255181231
